id,test_code,subject,content_domain,difficulty,question_type,review_status,reviewer,source_basis,duplicate_hash,stem_preview
5003-015,5003,Mathematics,Algebraic Thinking,easy,single-select,human-reviewed,legacy-import,legacy-unknown,9cc666829873af971723eaf52732066fed0db1867434597cbaae95f9ad22bf0e,Which value of x makes the equation 4x = 20 true?
5003-016,5003,Mathematics,Algebraic Thinking,hard,single-select,human-reviewed,legacy-import,legacy-unknown,f1d3b0d488a5f992f41ac34104a72e7e5c00a149b4e9e4e2bf1440c46137d353,Which statement best explains why 0.5x and x/2 are equivalent expressions?
5003-017,5003,Mathematics,Algebraic Thinking,medium,single-select,human-reviewed,legacy-import,legacy-unknown,74b3b444be67831ac382a423c680e93f9c08f640652d6007ddf26f463a08e5a1,A student writes '5 + n = 12' to represent 'five more than a number is twelve.' Which response best 
5003-018,5003,Mathematics,Algebraic Thinking,medium,single-select,human-reviewed,legacy-import,legacy-unknown,f58873a932d62cecf1d826bb77edb0cf44ee0ec2d8c1b29dd7f29c025a1094d3,Which number line shows the solution to x - 3 < 5?
5003-019,5003,Mathematics,Algebraic Thinking,hard,single-select,human-reviewed,legacy-import,legacy-unknown,dda08463cc6b23c8ec6bacb583302e880b0396b727dc17ee1ab040890aeae5bd,Two patterns are generated: Pattern A starts at 2 and adds 3 each time. Pattern B starts at 2 and ad
5003-020,5003,Mathematics,Algebraic Thinking,medium,single-select,human-reviewed,legacy-import,legacy-unknown,041e4b75f54e01a2beff788f9ebc0ad14d62f44aeedb4e48943ef106688973c0,What is the value of the expression 2x + 3 when x = 4?
5003-021,5003,Mathematics,"Geometry and Measurement, Data, Statistics, and Probability",easy,single-select,human-reviewed,legacy-import,legacy-unknown,c6b8c83d26922da2e0469991db5034099679cc594b0151473bece1a44249c708,What is the area of a rectangle with length 8 cm and width 5 cm?
5003-022,5003,Mathematics,"Geometry and Measurement, Data, Statistics, and Probability",medium,single-select,human-reviewed,legacy-import,legacy-unknown,e25fa5a1b386ad9cd103d7ac482174a7b01b38122853e04e25e603dfcee7b819,Which statement about triangles is ALWAYS true?
5003-023,5003,Mathematics,"Geometry and Measurement, Data, Statistics, and Probability",hard,single-select,human-reviewed,legacy-import,legacy-unknown,088616fdca38d417de546577f98ea29d67d12518de42a7a4514035a831b21835,Students confuse perimeter and area. Which activity best helps them distinguish the two concepts?
5003-024,5003,Mathematics,"Geometry and Measurement, Data, Statistics, and Probability",medium,single-select,human-reviewed,legacy-import,legacy-unknown,6df89c6afae5fb169a516919a74dee0a48e0837a46c9225817d536239c043a62,"What is the mean of the data set: 4, 7, 7, 9, 13?"
5003-025,5003,Mathematics,"Geometry and Measurement, Data, Statistics, and Probability",easy,single-select,human-reviewed,legacy-import,legacy-unknown,1f46d4c4da56c49a109fe2dfb71192c4103648498e21dbbd634d4a9a37a8d97a,Which angle measure represents a right angle?
5003-026,5003,Mathematics,"Geometry and Measurement, Data, Statistics, and Probability",hard,single-select,human-reviewed,legacy-import,legacy-unknown,8e868d02d5b77e27231fb8637c6468ef2b97564f01184ee597add47ae8671192,"A rectangle has length 12 cm and width 5 cm. If both dimensions are doubled, what happens to the are"
5003-027,5003,Mathematics,"Geometry and Measurement, Data, Statistics, and Probability",medium,single-select,human-reviewed,legacy-import,legacy-unknown,1801c868a4bf3ed1695cadbb272e49445fb0d6e1b53cb5ef1354f74194a3dceb,A student measures a table's area as 24 square feet but its perimeter as 20 feet. The teacher wants 
5003-028,5003,Mathematics,"Geometry and Measurement, Data, Statistics, and Probability",easy,single-select,human-reviewed,legacy-import,legacy-unknown,f51bcb8d6731685bc18dc67b9dcd71bd9a81bf77a5d170a1e53d06aab911a46a,Which shape has exactly four sides of equal length and four right angles?
5003-029,5003,Mathematics,"Geometry and Measurement, Data, Statistics, and Probability",medium,single-select,human-reviewed,legacy-import,legacy-unknown,ea1672951b9f504f090a78bd79e67f4b1c43899c74cc8b8815c829b65e1c1c08,What is the probability of rolling an even number on a standard six-sided die?
5003-030,5003,Mathematics,"Geometry and Measurement, Data, Statistics, and Probability",hard,single-select,human-reviewed,legacy-import,legacy-unknown,a23331d6d95d80801751209a757803f966545a307c91842a22ff4ae5eec74026,Which statement about the median of a data set is TRUE?
5004-001,5004,Social Studies,"United States History, Government, and Citizenship",easy,single-select,human-reviewed,legacy-import,legacy-unknown,6ee1a8464d337c40605401bf1808e7526f8cf84487358bec122f59ee100c8960,How many amendments are in the Bill of Rights?
5004-002,5004,Social Studies,"United States History, Government, and Citizenship",medium,single-select,human-reviewed,legacy-import,legacy-unknown,9df2b4f4a39f05b5acb3763693485ef359b0a57bd596b707dfd25c8b97c3dffc,Which branch of the federal government has the power to declare war?
5004-003,5004,Social Studies,"United States History, Government, and Citizenship",hard,single-select,human-reviewed,legacy-import,legacy-unknown,86b8ddac1aa83bff7e6386af0a0086c49c706455be093584065f8a7f605e2bf9,The Tenth Amendment states that powers not delegated to the federal government are reserved to the s
5004-004,5004,Social Studies,"United States History, Government, and Citizenship",medium,single-select,human-reviewed,legacy-import,legacy-unknown,96b273f9a74cc4d3d7cbb54dfe16c8256832dc8952857f7a9d685190e1315fbc,Which instructional strategy best helps students understand the purpose of checks and balances?
5004-005,5004,Social Studies,"United States History, Government, and Citizenship",easy,single-select,human-reviewed,legacy-import,legacy-unknown,c93a0aa1f0644633dae362e30dcb59936097ff9ad6f436f9521e7d393a09a546,Who was the first President of the United States?
5004-006,5004,Social Studies,"United States History, Government, and Citizenship",medium,single-select,human-reviewed,legacy-import,legacy-unknown,79ee736a6e378cebf8964c13c5e4ddd60e804fed5b61c687bad441e063b5f058,The Civil War fundamentally changed the relationship between states and the federal government becau
5004-007,5004,Social Studies,"United States History, Government, and Citizenship",hard,single-select,human-reviewed,legacy-import,legacy-unknown,7f42137fc30cd73b7869461fc7a5f1cd38da1065e2d6596bed30f55c13203297,Students struggle to understand why the Constitution includes theelastic clause. Which explanation i
5004-008,5004,Social Studies,"United States History, Government, and Citizenship",medium,single-select,human-reviewed,legacy-import,legacy-unknown,eae28477c9984a0220ac014d5cd988b486b2807e47cd66dc123bf59367b5f1c8,What is the minimum age requirement to become President of the United States?
5004-009,5004,Social Studies,"United States History, Government, and Citizenship",easy,single-select,human-reviewed,legacy-import,legacy-unknown,5ecfce5768d9f42efd897e652fc30937b966c79af5a1eea2a80915fa82e39f04,Which amendment granted women the right to vote?
5004-010,5004,Social Studies,"United States History, Government, and Citizenship",hard,single-select,human-reviewed,legacy-import,legacy-unknown,ec0223569eade1ae265a16ee15de9cd7fa35a1daab233cbb1b9151a20c0c04f6,Marbury v. Madison (1803) established which important principle?
5004-011,5004,Social Studies,"United States History, Government, and Citizenship",medium,single-select,human-reviewed,legacy-import,legacy-unknown,85a2e27d31955921987a258d1a55c40c6b1cc41e6e3bb388af7996165da12bc5,A student asks why the Founding Fathers created a republic instead of a direct democracy. Which resp
5004-012,5004,Social Studies,"United States History, Government, and Citizenship",medium,single-select,human-reviewed,legacy-import,legacy-unknown,f11603b1aa7014fa44b490a3131a8fc90757c85f742cb8b5bd75d68a6e80b122,How many justices serve on the Supreme Court?
5004-013,5004,Social Studies,"Geography, Anthropology, and Sociology",easy,single-select,human-reviewed,legacy-import,legacy-unknown,bf498ad4517483d5b334f1c8ffae4d8cd16445d3ca44988d275be4715ed1ecd0,How many inhabited continents are commonly recognized in the seven-continent model?
5004-014,5004,Social Studies,"Geography, Anthropology, and Sociology",medium,single-select,human-reviewed,legacy-import,legacy-unknown,0fb6061ec2de2f4bb2d0078afa9830a8e00b68dd6a7111b7fb8f30010d25f89d,Which geographic feature most strongly influenced where early civilizations developed?
5004-015,5004,Social Studies,"Geography, Anthropology, and Sociology",hard,single-select,human-reviewed,legacy-import,legacy-unknown,3f2786036abaae8d46848289d634d3379c042f53491c5d20f54c915e2889518a,The concept of 'cultural diffusion' best describes which phenomenon?
5004-016,5004,Social Studies,"Geography, Anthropology, and Sociology",medium,single-select,human-reviewed,legacy-import,legacy-unknown,37359e9bb86954b23487985d3c8f2f9b1be3d443fb34a278eb2f319f8867ea7e,Which activity best helps students understand the concept of 'human-environment interaction'?
5004-017,5004,Social Studies,"Geography, Anthropology, and Sociology",easy,single-select,human-reviewed,legacy-import,legacy-unknown,c649bc889ee01138c779c1f3190bd0288fd1e3880bf907f339c0ffa89da06484,What is the imaginary line at 0° latitude?
5004-018,5004,Social Studies,"Geography, Anthropology, and Sociology",medium,single-select,human-reviewed,legacy-import,legacy-unknown,2d161781d8af66dbbd529e51f88a3cce2c9025846713d7844ad730727d92dd4f,Which ocean is the largest?
5004-019,5004,Social Studies,"Geography, Anthropology, and Sociology",hard,single-select,human-reviewed,legacy-import,legacy-unknown,258366952f9fa67956c1dcba8cd6d8de1cec5e839ca66d2de89379e4aa470342,"A sociologist compares how unemployment, housing policy, and policing patterns affect crime rates ac"
5004-020,5004,Social Studies,"Geography, Anthropology, and Sociology",medium,single-select,human-reviewed,legacy-import,legacy-unknown,04f8d685135af1039c98555442cb9334ac05a57446369e656b474613710afbd0,Students are learning about cultural traditions. Which approach best avoids cultural stereotyping?
5004-021,5004,Social Studies,"Geography, Anthropology, and Sociology",easy,single-select,human-reviewed,legacy-import,legacy-unknown,b39b7951e2658f7447ee717e1b29ff2ef62b8c5ede96548e92a5e58cc111036e,Which country has the largest population in the world?
5004-022,5004,Social Studies,"Geography, Anthropology, and Sociology",hard,single-select,human-reviewed,legacy-import,legacy-unknown,6c612d44bcd0648521415ef5252471f925f0144e59e1a3bf219863aec33755c2,The term 'globalization' in social studies best refers to:
5004-023,5004,Social Studies,World History and Economics,easy,single-select,human-reviewed,legacy-import,legacy-unknown,330d07a87d75b6ca36156e11d757f8c95d893dd36443582a2814dbf63fb6332b,Which ancient civilization built the pyramids at Giza?
5004-024,5004,Social Studies,World History and Economics,medium,single-select,human-reviewed,legacy-import,legacy-unknown,be417bbf251f07fed07582ed1db4df5be0016105df081fb9755b1718cb1b54c0,What is the basic economic question that every society must answer?
5004-025,5004,Social Studies,World History and Economics,hard,single-select,human-reviewed,legacy-import,legacy-unknown,9fb02536499f7b53120b4103ffc1bee48acee8f986a78f0f85618803b465cddc,The Industrial Revolution's most significant impact on society was:
5004-026,5004,Social Studies,World History and Economics,medium,single-select,human-reviewed,legacy-import,legacy-unknown,875e071de1d96c73269448b00a9eecc35a764c338040de848f81f131258e04b7,Which strategy best helps students understand the concept of 'supply and demand'?
5004-027,5004,Social Studies,World History and Economics,easy,single-select,human-reviewed,legacy-import,legacy-unknown,81857851037bc693eec88720aace825654ea6b46a7ee7ee2a304561c21e9f8df,Which event marked the beginning of World War I?
5004-028,5004,Social Studies,World History and Economics,medium,single-select,human-reviewed,legacy-import,legacy-unknown,a743e826721e6a517e096b70e77ee7d3099ffbd82f3ddfcb833b8f9677a9a329,What type of economy is characterized by government ownership of major industries?
5004-029,5004,Social Studies,World History and Economics,hard,single-select,human-reviewed,legacy-import,legacy-unknown,84dd218218533e4fd7d84481d95372236fccc995daedb484eee53dc25ecc0f7e,The Enlightenment's greatest contribution to modern democracy was the idea that:
5004-030,5004,Social Studies,World History and Economics,medium,single-select,human-reviewed,legacy-import,legacy-unknown,30c87123548f29ec9464a4fc65ad666a3cf1f0a212ff313b89d58836c8d9bf16,A student confuses the Renaissance with the Reformation. Which comparison most clearly distinguishes
5004-031,5004,Social Studies,"Geography, Anthropology, and Sociology",easy,single-select,human-reviewed,legacy-import,legacy-unknown,6c324cf6773e34d2b3fe442ad7a2d5b846e86a4b232bcf5e6afd681978836bb0,Which ocean borders the east coast of Africa?
5004-032,5004,Social Studies,World History and Economics,hard,single-select,human-reviewed,legacy-import,legacy-unknown,9f8a738fda9b70ff15a929004571fb1fb68d3178e3643dccab88ac3bb774bff1,The Columbian Exchange is best described as:
5005-001,5005,Science,Earth Science,easy,single-select,human-reviewed,legacy-import,legacy-unknown,427aba55a26907d6f8f8cb0d39d3d219ee0e79193eafd9949f91afd8b385c2d5,What are the three main types of rocks?
5005-002,5005,Science,Earth Science,medium,single-select,human-reviewed,legacy-import,legacy-unknown,a755e4e60110f760b2f60666a31f59fb945e22e17ee87ebefab0fabb166b94a6,Which process is primarily responsible for creating fossil fuels?
5005-003,5005,Science,Earth Science,hard,single-select,human-reviewed,legacy-import,legacy-unknown,5fabd89acb83dc121a735d95050eaaae6c5759f1a972bccc00fc4ab55129d855,Students believe that seasons are caused by Earth's distance from the Sun. Which demonstration best 
5005-004,5005,Science,Earth Science,medium,single-select,human-reviewed,legacy-import,legacy-unknown,643f569714de56cdeee8142967f7d36fb70a415b359e6531cc5b091856274762,What causes earthquakes?
5005-005,5005,Science,Earth Science,easy,single-select,human-reviewed,legacy-import,legacy-unknown,5c5eb4bf49611b766ac3f243239da86f10c5ac51269d63e7b1e07b6ec1a610a0,Which layer of the Earth is the hottest?
5005-006,5005,Science,Earth Science,medium,single-select,human-reviewed,legacy-import,legacy-unknown,a16e2377dcf5f22d15d0b1d7b995bec071acddb0cbf06424fb5e0a07a33aee45,How does the water cycle move water through the environment?
5005-007,5005,Science,Earth Science,hard,single-select,human-reviewed,legacy-import,legacy-unknown,721b71aecb220d35f5970e1dc5bdbc034286fbd405ac49c9a7dedd81f955edea,A rock layer contains fossils of tropical plants but is now in an arid desert. What does this most l
5005-008,5005,Science,Earth Science,medium,single-select,human-reviewed,legacy-import,legacy-unknown,c0d871602f63542b81e0daf23aa0e626e87ea42bac1d419be0af061657818883,Which hands-on activity best helps students understand soil composition?
5005-009,5005,Science,Earth Science,easy,single-select,human-reviewed,legacy-import,legacy-unknown,56bb59359e711c5cc11c4d0c358bac69166be48f020f3050f4e66b928c72127f,What is the Mohs hardness scale used for?
5005-010,5005,Science,Earth Science,hard,single-select,human-reviewed,legacy-import,legacy-unknown,841be5e33da86df30c377544ac5c19ffa96df5ace8e763e6675e7ace626526c4,Which statement about the rock cycle is true?
5005-011,5005,Science,Life Science,easy,single-select,human-reviewed,legacy-import,legacy-unknown,edea730c7276b7e53e08bd6cf1c2dda1b8eed4012fc7df95e5f93f69bdbca006,What is the basic unit of structure and function in living organisms?
5005-012,5005,Science,Life Science,medium,single-select,human-reviewed,legacy-import,legacy-unknown,929d56a346ad911c233abd3ff3475c954db1dc4dd89a34c02d095754a88a1411,Which organelle is responsible for producing energy in the cell?
5005-013,5005,Science,Life Science,hard,single-select,human-reviewed,legacy-import,legacy-unknown,860f3c0d4258c539f7878131eaf42d4eba399cbbc501fcbeb4f52a62ab4ee1b1,A student observes that a plant grows toward a window. This is an example of:
5005-014,5005,Science,Life Science,medium,single-select,human-reviewed,legacy-import,legacy-unknown,718795c51742cc78f8c396ac3dcb42f40a51b816f0bbc9a5ccf4e1643d40eda8,"Which model best represents the relationship between producers, consumers, and decomposers in an eco"
5005-015,5005,Science,Life Science,easy,single-select,human-reviewed,legacy-import,legacy-unknown,337e9bcdbd5813ec69ca212a436f3538a60f47cbb26a0cd85eb5d7f9dd1bfed8,What process do plants use to make their own food?
5005-016,5005,Science,Life Science,medium,single-select,human-reviewed,legacy-import,legacy-unknown,d31dba417523c57a67c5575de780acb2704797440943f298a6fc0b57a26c98f9,Why are decomposers essential to ecosystems?
5005-017,5005,Science,Life Science,hard,single-select,human-reviewed,legacy-import,legacy-unknown,a27e3e6a7e62e17d7fe86fb9bccb9359225bf3d128b3ec41519cdc28a1819c3d,Students think that all bacteria are harmful. Which teaching approach best corrects this misconcepti
5005-018,5005,Science,Life Science,medium,single-select,human-reviewed,legacy-import,legacy-unknown,952b3f3b54acdd730252d93e17851606c6de9cb53d0af3a0489089af81ee355e,Which structure is found in plant cells but NOT in animal cells?
5005-019,5005,Science,Life Science,easy,single-select,human-reviewed,legacy-import,legacy-unknown,7e1b0b5e2f069284ec5820474b24905c83a57d8e72846b39c5639214ccfc2aa1,What is the function of the root system in a plant?
5005-020,5005,Science,Life Science,hard,single-select,human-reviewed,legacy-import,legacy-unknown,4f90bc6521ba8cab6ab7318b41327145f2c128f8e5f2f776672b536ef90bd00b,A population of beetles has both green and brown individuals. Birds eat more green beetles on brown 
5005-021,5005,Science,Physical Science,easy,single-select,human-reviewed,legacy-import,legacy-unknown,6774ba782f2874e4a8db83c940e32169377bc4dea9eb4132bf5e6bca4b1f0d7f,What is the formula for speed?
5005-022,5005,Science,Physical Science,medium,single-select,human-reviewed,legacy-import,legacy-unknown,5184c827f076375d47771a4bb8ee013f1de135b3a9fd737dc3fe2eee183fbb23,"When ice melts into water, what happens to the energy and arrangement of molecules?"
5005-023,5005,Science,Physical Science,hard,single-select,human-reviewed,legacy-import,legacy-unknown,1f313a255ac42e5c68e558b736ff679c899fe048e559dc3d4f359a9f908a86ec,Students believe that heavier objects fall faster than lighter objects. Which demonstration best cha
